"","X.2","X.1","X","icon","title","price","date","deal","delivery","userclass","userid"
"146",147,147,127,"판매","sk데이터 판매합니다","3,000원","2019.05.20. 11:53","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"2315",2363,2363,1123,"판매","★서브폰,아이폰 사용가능! 노트4 다량판매합니다","55,000원","2019.05.20. 12:13","안전거래(네이버페이)","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"3169",3260,3260,800,"판매","[초A급] 갤럭시 s8 64 미드나잇 블랙 상태 자부하며 착한가격에 팝니다.","240,000원","2019.05.20. 13:31","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"4322",4502,4502,822,"판매","[초A급] 갤럭시 s8 64 미드나잇 블랙 상태 자부하며 팝니다.","240,000원","2019.05.20. 15:24","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"9175",10079,10079,279,"판매","[초A급] 갤럭시 s8 64 미드나잇 블랙 23만원 착한가격에 팝니다.","230,000원","2019.05.21. 13:49","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"12990",14087,14087,627,"판매","아이폰8플러스 골드 판매합니다 상태A급","530,000원","2019.05.21. 18:29","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"14346",15537,15537,857,"판매","갤럭시 s9 64gb 버건디레드 [35만원] 저렴한 가격에 판매합니다.","350,000원","2019.05.21. 19:15","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"18495",22164,22164,164,"판매","갤럭시 s9 64gb 버건디레드 [35만원] 저렴한 가격에 판매합니다.","350,000원","2019.05.22. 09:53","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"18510",22179,22179,179,"판매","[초A급] 갤럭시 s8 64 미드나잇 블랙 상태 자부하며 착한가격에 팝니다.","230,000원","2019.05.22. 09:52","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"18714",22389,22389,389,"판매","갤럭시 s9+ 256GB 블랙 판매합니다","390,000원","2019.05.22. 09:38","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"30538",42962,42962,222,"판매","갤럭시 S9 64gb 미친가격 저렴하게 판매해요","350,000원","2019.05.23. 09:49","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"30551",42975,42975,235,"판매","[초A급] 갤럭시 s8 64 미드나잇 블랙 상태 자부하며 팝니다.","230,000원","2019.05.23. 09:49","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"30952",43395,43395,655,NA,"갤럭시 S8 64G 실버 팝니다","80,000원","2019.05.23. 09:26","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"40673",54281,54281,561,"판매","화웨이 P9 P9+ 64G 삽니다!","12,457원","2019.05.24. 01:27","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"42529",58780,58780,180,"판매","갤럭시 S9 64gb 미친가격 저렴하게 판매해요","350,000원","2019.05.24. 09:49","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"42570",58821,58821,221,"판매","[초A급] 갤럭시 s8 64 미드나잇 블랙 상태 자부하며 팝니다.","230,000원","2019.05.24. 09:47","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"44712",61106,61106,66,"판매","[초A급] 갤럭시 s8 64 미드나잇 블랙 상태 자부하며 착한가격에 팝니다.","230,000원","2019.05.24. 13:57","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"46705",63255,63255,995,"판매","[초A급] 갤럭시 s8 64 미드나잇 블랙 상태 자부하며 팝니다.","230,000원","2019.05.24. 14:19","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"46800",63362,63362,1102,"판매","갤럭시 S9 64gb 미친가격 저렴하게 판매해요","350,000원","2019.05.24. 14:14","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"66509",97733,97733,93,"판매","[초A급] 갤럭시 s8 64 미드나잇 블랙 상태 자부하며 팝니다.","230,000원","2019.05.25. 23:50","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"66512",97736,97736,96,"판매","갤럭시 S9 64gb 미친가격 저렴하게 판매해요","350,000원","2019.05.25. 23:49","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"67225",99238,99238,378,"판매","화웨이 P20 pro or P30 pro 128G 이상 삽니다.","1,234,566원","2019.05.26. 00:15","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"67810",101438,101438,138,"판매","아이폰8+ 실버 64g 45만 서울 직거래","450,000원","2019.05.26. 02:37","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"71987",111652,111652,592,"판매","[초A급] 갤럭시 s8 64 미드나잇 블랙 상태 자부하며 팝니다.","230,000원","2019.05.26. 12:19","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"71991",111656,111656,596,"판매","갤럭시 S9 64gb 미친가격 저렴하게 판매해요","340,000원","2019.05.26. 12:18","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"75228",115962,115962,22,"판매","화웨이 P20 pro / P30 pro 128G이상 삽니다!","123,456원","2019.05.26. 22:57","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"79318",129024,129024,884,"판매","갤럭시 S10 128GB 그린","580,000원","2019.05.27. 10:14","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"88283",140347,140347,7,"판매","화웨이 P30 pro or P20 pro 128G이상 삽니다!!","213,456원","2019.05.27. 23:59","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"88771",140843,140843,503,"판매","아이폰8+ 실버 64g 45만 서울 직거래","450,000원","2019.05.27. 23:06","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"93760",153635,153635,1095,"판매","갤럭시 S9 64gb 미친가격 저렴하게 판매해요","340,000원","2019.05.28. 10:05","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"93782",153658,153658,1118,"판매","[초A급] 갤럭시 s8 64 미드나잇 블랙 상태 자부하며 [22만원] 착한가격에 팝니다.","220,000원","2019.05.28. 10:03","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"96167",157178,157178,978,"판매","아이폰7 매트블랙 128기가 판매합니다","240,000원","2019.05.20. 14:13","안전거래 미사용(본인 미인증)","
					판매자와 직접 연락하세요
				","중고나라","(qkrt****)"
"665",670,670,650,"판매","아이폰6s 64기가 팝니다. (액정파손, 정상작동)","110,000원","2019.05.20. 11:30","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(best****)"
"3844",3979,3979,299,"판매","아이폰7 블랙 128G 22만원에 팝니다.대구 경산 직거래 가능","220,000원","2019.05.20. 15:47","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(best****)"
"7397",7752,7752,412,NA,"skt 데이터 1기가 팔아요 :)","2,300원","2019.05.20. 21:28","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(best****)"
"12423",13498,13498,38,"판매","[판매/박스풀셋/공기계] 애플 / 아이폰XS 64GB 골드","2,000원","2019.05.21. 18:58","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(best****)"
"15023",16353,16353,453,"판매","아이폰6S 64기가 팝니다","150,000원","2019.05.21. 20:31","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(best****)"
"15046",16376,16376,476,"판매","삼성갤럭시 노트8 (N950) 64기가 팝니다","250,000원","2019.05.21. 20:30","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(best****)"
"15071",16403,16403,503,"판매","삼성갤럭시 S9 (G960) 64기가 팝니다","310,000원","2019.05.21. 20:28","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(best****)"
"15090",16422,16422,522,"판매","삼성갤럭시 A8스타 (G885) 64기가 팝니다","200,000원","2019.05.21. 20:27","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(best****)"
"16053",17759,17759,639,"판매","[판매/박스풀셋/공기계] 애플 / 아이폰XS 64GB 골드 / 64","2,000원","2019.05.21. 21:04","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(best****)"
"21807",25804,25804,144,"판매","[판매/박스풀셋/공기계] 애플 / 아이폰XS 64GB 골드","2,000원","2019.05.22. 17:53","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(best****)"
"26155",30608,30608,68,"판매","[판매/박스풀셋/공기계] 애플 / 아이폰XS 64GB 골드 / 64","2,000원","2019.05.22. 22:54","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(best****)"
"26725",31218,31218,678,"판매","SKT LG 옵티머스1 (LG-SU640) 1.5만에 팝니다.(부팅불가, 액정만 사용가능, 밧데리2개 추가)","15,000원","2019.05.22. 22:01","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(best****)"
"26736",31229,31229,689,"판매","SKT LG 옵티머스1 (LG-SU640) 1.5만에 팝니다.(부팅불가, 액정만 사용가능, 밧데리2개 추가)","15,000원","2019.05.22. 22:00","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(best****)"
"28785",36790,36790,150,"판매","울산 홍미노트7 나 홍미노트7 프로구합니다!","11,111원","2019.05.23. 03:32","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(best****)"
"39497",52888,52888,388,"판매","블랙베리 키2 팝니다.","380,000원","2019.05.23. 19:37","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(best****)"
"51916",68946,68946,586,"판매","삼성갤럭시 노트8 (N950) 64기가 팝니다","320,000원","2019.05.24. 19:27","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(best****)"
"51934",68966,68966,606,"판매","삼성갤럭시 S8플러스 (G955) 128기가 팝니다","270,000원","2019.05.24. 19:25","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(best****)"
"51951",68985,68985,625,"판매","삼성갤럭시 A8스타 (G885) 64기가 팝니다","190,000원","2019.05.24. 19:24","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(best****)"
"60970",89450,89450,350,"판매","블랙베리 키2 팝니다.","380,000원","2019.05.25. 15:40","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(best****)"
"61083",89572,89572,472,"판매","노트9,S10+,S10 5G 해외용 와이파이용으로 한 대 삽니다.","2,000원","2019.05.25. 15:34","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(best****)"
"70407",109595,109595,975,"판매","블랙베리 키2 팝니다.","380,000원","2019.05.26. 09:36","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(best****)"
"71347",110620,110620,780,"판매","갤럭시 J3, 아이폰6 64GB, 토르마린 목걸이/팔찌, 각종 의류, 플스2, 캠코더, 안경테 등 팝니다.","70,000원","2019.05.26. 11:06","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(best****)"
"79685",129425,129425,65,"판매","블랙베리 키2 팝니다.","380,000원","2019.05.27. 11:56","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(best****)"
"86759",137300,137300,620,"판매","삼성갤럭시 노트8 (N950) 64기가 팝니다","310,000원","2019.05.27. 20:16","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(best****)"
"88148",139617,139617,497,"판매","아이폰6S 64기가, 삼성 i5노트북, 손목시계, 안경테, 선글라스, 남성신발/의류 등 생활용품 팝니다.","130,000원","2019.05.27. 22:12","안전거래 미사용","
					판매자와 직접 연락하세요
				","중고나라","(best****)"
"23340",27435,27435,555,"판매","@@@삽니다/출장매입@@ 아이폰 갤럭시 모든핸드폰 스마트폰 삽니다 @@@@","4,324원","2019.05.22. 18:34","안전거래 미사용(본인 미인증)","
					판매자와 직접 연락하세요
				","중고나라","(dnwj****)"
