"","icon","title","price","date"
"15","판매","LG G6 64기가 (G600s)아이스플레티넘 A급 팝니다","100,000원","2019.05.09. 09:01 조회 0"
"16","판매","iPhone X 256g 아이폰 스페이스 그레이 62만원에 팝니다.","620,000원","2019.05.09. 09:00 조회 3"
"17","판매","노마진#전국#/갤럭시S8/S급무!잔!상!폰24.9/SS최상품!as가능@삼성보증폰판매!@중고폰@직거래@당일택배가능","249,000원","2019.05.09. 09:00 조회 0"
"18","판매","갤럭시 노트8 블랙64기가 팝니다 상태A","350,000원","2019.05.09. 09:00 조회 2"
"19","판매","아이폰 8+ 256G 실버 (용인) 팝니다","470,000원","2019.05.09. 09:00 조회 3"
"20","판매","SKT 데이터 2기가 4000원","4,000원","2019.05.09. 09:00 조회 0"
"21","판매","80. KT /갤럭시 J7(J700)/ 블랙/16GB /5만/부산","50,000원","2019.05.09. 09:02 조회 0"
"22","판매","갤럭시 S8 미드나잇 블랙 64G 판매 [부산]","170,000원","2019.05.09. 09:02 조회 0"
"23","판매","76. 갤럭시 A7(2016) (A710)/ 블랙 /16GB /7만/ 부산","70,000원","2019.05.09. 09:02 조회 0"
"24","판매","43. KT / 갤럭시 J7 / 화이트 / 16 GB / 5만 /부산","50,000원","2019.05.09. 09:01 조회 1"
"25","판매","아이폰6 64G 팝니다. 9만원 충전선 포함","90,000원","2019.05.09. 09:01 조회 3"
"26","판매","◎●◎아이폰(iPhone) 전기종 최고가 출장매입(박스폰,중고폰,교환,파손폰,고장폰 가능) 합니다.◎●◎","20,000원","2019.05.09. 09:01 조회 0"
"27","판매","아이폰6 32G 스페이스그레이 / 깨끗한 공기기 팝니다","110,000원","2019.05.09. 09:01 조회 1"
"28","판매","가격내림★LG G6 화이트 705번 서울","150,000원","2019.05.09. 09:01 조회 0"
"29","판매","iPhone X 256g 아이폰 스페이스 그레이 62만원에 팝니다.","620,000원","2019.05.09. 09:01 조회 1"
"30","판매","갤럭시s10 256gb 골드 상태 S급 가져가세요!","800,000원","2019.05.09. 09:00 조회 1"
"31","판매","●광주●갤럭시노트5 공기계 중고폰 합리적인 가격에 드려요!.","120,000원","2019.05.09. 09:00 조회 1"
"32","판매","노트5 32G 블랙팝니다 잔상없음 9만원 (부산 직거래가능)","90,000원","2019.05.09. 09:00 조회 1"
"33","판매","서울#도매/갤S8기능상태최상급/18,9/최상품!@삼성보증폰판매!@중고폰@직거래@당일택배가능","189,000원","2019.05.09. 09:00 조회 0"
"34","판매","서울,경기 직접갑니다!!전국 최고단가!!삼성,아이폰,엘지!!","1,000,000원","2019.05.09. 09:00 조회 1"
"35","판매","갤럭시 노트5 골드플레티넘색상 32기가 핸드폰 저렴하게 판매합니다 (케이스)","110,000원","2019.05.09. 09:00 조회 2"
"36","판매","갤럭시 s8","240,000원","2019.05.09. 08:59 조회 2"
"37","판매","갤럭시 s9+ 256g 420000원 최저가 새제품급 판매합니다","420,000원","2019.05.09. 08:59 조회 0"
"38","판매","s9+(플러스)64GB/256GB 정상해지 공기계 중고폰(알뜰폰/선불폰가능/직거래환영) 팝니다.","370,000원","2019.05.09. 08:59 조회 0"
"39","판매","[삼성폰] 갤럭시 J3 블랙 가개통 미사용 새제품입니다.","100,000원","2019.05.09. 08:59 조회 0"
"40","판매","(개인) 보증기간 남은 LG G6 팝니다. 홍미노트7 교환가능","150,000원","2019.05.09. 08:59 조회 2"
"41","판매","73. LGU+/ 갤럭시J5(2016)(J510)/화이트/16GB /5만/부산","50,000원","2019.05.09. 09:02 조회 0"
"42","판매","갤럭시s8 블루색상 64GB !! AAAAA (상태좋습니다!!)","250,000원","2019.05.09. 09:02 조회 0"
"43","판매","갤럭시s10 5G 256기가 골드 새제품 대구 급매","730,000원","2019.05.09. 09:02 조회 0"
"44","판매","갤럭시 노트8 오키드 그레이 색상 64g 풀 구성품 포함 저렴하게 판매합니다","320,000원","2019.05.09. 09:01 조회 0"
"45","판매","iPhone X 256g 아이폰 스페이스 그레이 62만원에 팝니다.","620,000원","2019.05.09. 09:01 조회 1"
"46","판매","lg 유플러스 데이터 2천원","2,000원","2019.05.09. 09:01 조회 0"
"47","판매","[이수역중고폰] 정상해지 갤럭시S8플러스 팝니다","260,000원","2019.05.09. 09:01 조회 1"
"48","판매","갤럭시노트8 64 메이플골드 팝니다(용인)액정깨짐","170,000원","2019.05.09. 09:01 조회 1"
"49","판매","164. LGU+ / A5 (2017) ( A520) / 블랙 / 32 GB / 9만 /부산","90,000원","2019.05.09. 09:00 조회 0"
"50","판매","163. LGU+ / A5 (2017) ( A520) / 핑크 / 32 GB / 7만 /부산","70,000원","2019.05.09. 09:00 조회 1"
"51","판매","갤럭시s9 퍼플색상 64GB !! 싸게들구가세요 전체적상태좋습니다!!","320,000원","2019.05.09. 09:00 조회 3"
"52","판매","LGU+ 갤럭시S6 화이트 (SM-G920L) 64G 6만원에 팝니다~","6,000원","2019.05.09. 09:00 조회 1"
"53","판매","갤럭시 J6 (2018) 라벤더 퍼플 색상 충전기 포함 저렴하게 판매합니다 (가격내림)","100,000원","2019.05.09. 09:00 조회 2"
"54","판매","152. LGU+ / 갤럭시 A5(2017) (A520) / 블랙 / 32GB / 9만 / 부산","90,000원","2019.05.09. 09:00 조회 1"
"55","판매","갤럭시s2 u+전용(유심X) 만원","10,000원","2019.05.09. 08:59 조회 1"
"56","판매","갤럭시s9플러스 블랙 64GB (잔상있습니다.싸게들고가세요)","330,000원","2019.05.09. 08:59 조회 1"
"57","판매","●광주●갤럭시노트5 공기계 중고폰 합리적인 가격에 드려요!.","120,000원","2019.05.09. 08:59 조회 0"
"58","판매","LG G6 ThinQ (쥐식스) 아스트로블랙 64GB + 케이스 액정강화필름 새것 핸드폰 저렴하게 판매합니다","105,000원","2019.05.09. 08:59 조회 1"
"59","판매","아이폰 7 128기가 로즈골드 상태깨끗","230,000원","2019.05.09. 08:58 조회 4"
"60","판매","최고가 아이폰 중고폰 가개통폰 파손폰 전부 매입합니다.(서울 경기출장) @@","800,000원","2019.05.09. 08:57 조회 0"
